Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org

PASS audit depart basic/13
OUTLIER MOVE stage=22 p=(14798.98, -6039.313) target=(14723.78, -6164.217) direction=(-0.667973, -0.744186) hp=7.5 damage=23 gun=0
OUTLIER MOVE stage=22 p=(14787.31, -6050.877) target=(14732.55, -6147.426) direction=(-0.674639, -0.738148) hp=7.5 damage=23 gun=0
OUTLIER MOVE stage=22 p=(14776.81, -6061.261) target=(14655.84, -6184.156) direction=(-0.6342, -0.773169) hp=7.5 damage=24 gun=0
OUTLIER MOVE stage=22 p=(14758.12, -6079.936) target=(14656.34, -6183.661) direction=(-0.939497, -0.342557) hp=7.5 damage=24 gun=0
OUTLIER MOVE stage=22 p=(14747.67, -6090.359) target=(14826.94, -6195.578) direction=(0.83034, -0.557257) hp=7.5 damage=25 gun=0
OUTLIER MOVE stage=22 p=(14758.14, -6100.761) target=(14814.41, -6182.66) direction=(0.456001, -0.889979) hp=7.5 damage=25 gun=0
OUTLIER MOVE stage=22 p=(14768.62, -6111.16) target=(14848.09, -6248.092) direction=(0.86705, -0.498221) hp=7.5 damage=26 gun=0
OUTLIER MOVE stage=22 p=(14773.25, -6115.729) target=(14841.73, -6241.729) direction=(0.468544, -0.88344) hp=7.5 damage=26 gun=0
OUTLIER MOVE stage=22 p=(14784.82, -6120.565) target=(14912.34, -6039.669) direction=(0.675668, 0.737206) hp=7.5 damage=27 gun=0
OUTLIER MOVE stage=22 p=(14795.21, -6110.076) target=(14898.16, -6050.026) direction=(0.685659, 0.727923) hp=7.5 damage=27 gun=0
OUTLIER MOVE stage=22 p=(14806.85, -6098.367) target=(14880.77, -6050.934) direction=(0.0, 0.0) hp=7.5 damage=27 gun=0
OUTLIER MOVE stage=22 p=(14806.77, -6098.405) target=(14871.84, -6050.934) direction=(0.0, 0.0) hp=7.5 damage=27 gun=0
OUTLIER MOVE stage=22 p=(14806.56, -6098.54) target=(15003.83, -6024.0) direction=(0.667144, 0.744929) hp=7.5 damage=28 gun=0
OUTLIER MOVE stage=22 p=(14820.71, -6084.396) target=(14993.84, -6024.0) direction=(0.67353, 0.73916) hp=7.5 damage=28 gun=0
OUTLIER MOVE stage=22 p=(14834.85, -6070.251) target=(14988.01, -6024.0) direction=(0.678159, 0.734915) hp=7.5 damage=28 gun=0
